aggregation,horizon_eval,var_coeff,ensemble_size,seed,task,reward,success
mean,3,0.0,2,1,dog-run,713.9,0.00
mean,3,0.0,2,2,dog-run,694.2,0.00
mean,3,0.0,2,3,dog-run,704.3,0.00
mean,3,0.001,2,1,dog-run,705.6,0.00
mean,3,0.001,2,2,dog-run,701.7,0.00
mean,3,0.001,2,3,dog-run,711.5,0.00
mean,3,0.01,2,1,dog-run,710.9,0.00
mean,3,0.01,2,2,dog-run,705.5,0.00
mean,3,0.01,2,3,dog-run,703.2,0.00
mean,3,1.0,2,1,dog-run,703.4,0.00
mean,3,1.0,2,2,dog-run,685.8,0.00
mean,3,1.0,2,3,dog-run,695.7,0.00
mean,3,10.0,2,1,dog-run,673.5,0.00
mean,3,10.0,2,2,dog-run,645.2,0.00
mean,3,10.0,2,3,dog-run,666.4,0.00
max,3,0.0,2,1,dog-run,696.3,0.00
max,3,0.0,2,2,dog-run,683.4,0.00
max,3,0.0,2,3,dog-run,694.3,0.00
max,3,0.001,2,1,dog-run,682.1,0.00
max,3,0.001,2,2,dog-run,689.6,0.00
max,3,0.001,2,3,dog-run,705.1,0.00
max,3,0.01,2,1,dog-run,699.8,0.00
max,3,0.01,2,2,dog-run,695.0,0.00
max,3,0.01,2,3,dog-run,702.9,0.00
max,3,1.0,2,1,dog-run,703.0,0.00
max,3,1.0,2,2,dog-run,694.3,0.00
max,3,1.0,2,3,dog-run,696.1,0.00
max,3,10.0,2,1,dog-run,678.3,0.00
max,3,10.0,2,2,dog-run,642.9,0.00
max,3,10.0,2,3,dog-run,674.0,0.00
min,3,0.0,2,1,dog-run,706.4,0.00
min,3,0.0,2,2,dog-run,694.0,0.00
min,3,0.0,2,3,dog-run,705.8,0.00
min,3,0.001,2,1,dog-run,699.3,0.00
min,3,0.001,2,2,dog-run,709.1,0.00
min,3,0.001,2,3,dog-run,704.9,0.00
min,3,0.01,2,1,dog-run,706.4,0.00
min,3,0.01,2,2,dog-run,696.7,0.00
min,3,0.01,2,3,dog-run,707.4,0.00
min,3,1.0,2,1,dog-run,696.1,0.00
min,3,1.0,2,2,dog-run,683.6,0.00
min,3,1.0,2,3,dog-run,693.1,0.00
min,3,10.0,2,1,dog-run,655.4,0.00
min,3,10.0,2,2,dog-run,641.7,0.00
min,3,10.0,2,3,dog-run,650.3,0.00
mean,3,0.0,3,1,dog-run,849.3,0.00
mean,3,0.0,3,2,dog-run,834.0,0.00
mean,3,0.0,3,3,dog-run,824.5,0.00
mean,3,0.001,3,1,dog-run,848.5,0.00
mean,3,0.001,3,2,dog-run,755.4,0.00
mean,3,0.001,3,3,dog-run,834.9,0.00
mean,3,0.01,3,1,dog-run,844.9,0.00
mean,3,0.01,3,2,dog-run,819.8,0.00
mean,3,0.01,3,3,dog-run,817.5,0.00
mean,3,1.0,3,1,dog-run,820.1,0.00
mean,3,1.0,3,2,dog-run,815.7,0.00
mean,3,1.0,3,3,dog-run,832.4,0.00
mean,3,10.0,3,1,dog-run,778.1,0.00
mean,3,10.0,3,2,dog-run,763.5,0.00
mean,3,10.0,3,3,dog-run,785.7,0.00
max,3,0.0,3,1,dog-run,798.7,0.00
max,3,0.0,3,2,dog-run,796.9,0.00
max,3,0.0,3,3,dog-run,758.4,0.00
max,3,0.001,3,1,dog-run,748.7,0.00
max,3,0.001,3,2,dog-run,822.5,0.00
max,3,0.001,3,3,dog-run,823.3,0.00
max,3,0.01,3,1,dog-run,794.5,0.00
max,3,0.01,3,2,dog-run,802.3,0.00
max,3,0.01,3,3,dog-run,802.2,0.00
max,3,1.0,3,1,dog-run,848.8,0.00
max,3,1.0,3,2,dog-run,828.1,0.00
max,3,1.0,3,3,dog-run,836.5,0.00
max,3,10.0,3,1,dog-run,758.0,0.00
max,3,10.0,3,2,dog-run,799.7,0.00
max,3,10.0,3,3,dog-run,798.3,0.00
min,3,0.0,3,1,dog-run,841.0,0.00
min,3,0.0,3,2,dog-run,810.0,0.00
min,3,0.0,3,3,dog-run,817.6,0.00
min,3,0.001,3,1,dog-run,843.7,0.00
min,3,0.001,3,2,dog-run,829.2,0.00
min,3,0.001,3,3,dog-run,748.4,0.00
min,3,0.01,3,1,dog-run,844.5,0.00
min,3,0.01,3,2,dog-run,831.8,0.00
min,3,0.01,3,3,dog-run,815.4,0.00
min,3,1.0,3,1,dog-run,824.5,0.00
min,3,1.0,3,2,dog-run,826.1,0.00
min,3,1.0,3,3,dog-run,830.0,0.00
min,3,10.0,3,1,dog-run,707.3,0.00
min,3,10.0,3,2,dog-run,721.0,0.00
min,3,10.0,3,3,dog-run,727.5,0.00
mean,5,0.0,2,1,dog-run,709.8,0.00
mean,5,0.0,2,2,dog-run,701.7,0.00
mean,5,0.0,2,3,dog-run,718.8,0.00
mean,5,0.001,2,1,dog-run,718.9,0.00
mean,5,0.001,2,2,dog-run,709.5,0.00
mean,3,0.0,1,1,humanoid-run,187.3,0.00
mean,3,0.0,1,2,humanoid-run,185.7,0.00
mean,3,0.0,1,3,humanoid-run,190.1,0.00
mean,3,0.001,1,1,humanoid-run,187.3,0.00
mean,3,0.001,1,2,humanoid-run,185.7,0.00
mean,3,0.001,1,3,humanoid-run,190.1,0.00
mean,3,0.01,1,1,humanoid-run,187.3,0.00
mean,3,0.01,1,2,humanoid-run,185.7,0.00
mean,3,0.01,1,3,humanoid-run,190.1,0.00
mean,3,1.0,1,1,humanoid-run,187.3,0.00
mean,3,1.0,1,2,humanoid-run,185.7,0.00
mean,3,1.0,1,3,humanoid-run,190.1,0.00
mean,3,10.0,1,1,humanoid-run,187.3,0.00
mean,3,10.0,1,2,humanoid-run,185.7,0.00
mean,3,10.0,1,3,humanoid-run,190.1,0.00
max,3,0.0,1,1,humanoid-run,187.3,0.00
max,3,0.0,1,2,humanoid-run,185.7,0.00
max,3,0.0,1,3,humanoid-run,190.1,0.00
max,3,0.001,1,1,humanoid-run,187.3,0.00
max,3,0.001,1,2,humanoid-run,185.7,0.00
max,3,0.001,1,3,humanoid-run,190.1,0.00
max,3,0.01,1,1,humanoid-run,187.3,0.00
max,3,0.01,1,2,humanoid-run,185.7,0.00
max,3,0.01,1,3,humanoid-run,190.1,0.00
max,3,1.0,1,1,humanoid-run,187.3,0.00
max,3,1.0,1,2,humanoid-run,185.7,0.00
max,3,1.0,1,3,humanoid-run,190.1,0.00
max,3,10.0,1,1,humanoid-run,187.3,0.00
max,3,10.0,1,2,humanoid-run,185.7,0.00
max,3,10.0,1,3,humanoid-run,190.1,0.00
min,3,0.0,1,1,humanoid-run,187.3,0.00
min,3,0.0,1,2,humanoid-run,185.7,0.00
min,3,0.0,1,3,humanoid-run,190.1,0.00
min,3,0.001,1,1,humanoid-run,187.3,0.00
min,3,0.001,1,2,humanoid-run,185.7,0.00
min,3,0.001,1,3,humanoid-run,190.1,0.00
min,3,0.01,1,1,humanoid-run,187.3,0.00
min,3,0.01,1,2,humanoid-run,185.7,0.00
min,3,0.01,1,3,humanoid-run,190.1,0.00
min,3,1.0,1,1,humanoid-run,187.3,0.00
min,3,1.0,1,2,humanoid-run,185.7,0.00
min,3,1.0,1,3,humanoid-run,190.1,0.00
min,3,10.0,1,1,humanoid-run,187.3,0.00
